Date,Unnamed: 0,tmax,tmin,prcp
1970-01-01,36890,25.0,19.0,0.0
1970-01-02,36891,30.0,18.0,0.0
1970-01-03,36892,36.0,25.0,0.04
1970-01-04,36893,31.0,20.0,0.0
1970-01-05,36894,34.0,18.0,0.0
1970-01-06,36895,35.0,25.0,0.03
1970-01-07,36896,25.0,20.0,0.13
1970-01-08,36897,20.0,5.0,0.0
1970-01-09,36898,14.0,3.0,0.0
1970-01-10,36899,31.0,8.0,0.0
1970-01-11,36900,30.0,20.0,0.0
1970-01-12,36901,28.0,23.0,0.14
1970-01-13,36902,33.0,24.0,0.0
1970-01-14,36903,24.0,14.0,0.0
1970-01-15,36904,28.0,11.0,0.0
1970-01-16,36905,37.0,19.0,0.0
1970-01-17,36906,47.0,32.0,0.02
1970-01-18,36907,42.0,20.0,0.02
1970-01-19,36908,23.0,12.0,0.0
1970-01-20,36909,21.0,14.0,0.16
1970-01-21,36910,19.0,6.0,0.09
1970-01-22,36911,19.0,5.0,0.0
1970-01-23,36912,27.0,12.0,0.0
1970-01-24,36913,27.0,15.0,0.0
1970-01-25,36914,36.0,22.0,0.03
1970-01-26,36915,46.0,31.0,0.0
1970-01-27,36916,34.0,26.0,0.0
1970-01-28,36917,42.0,31.0,0.0
1970-01-29,36918,51.0,42.0,0.0
1970-01-30,36919,46.0,21.0,0.0
1970-01-31,36920,36.0,19.0,0.0
1970-02-01,36921,51.0,33.0,0.0
1970-02-02,36922,56.0,41.0,0.37
1970-02-03,36923,56.0,20.0,0.89
1970-02-04,36924,20.0,10.0,0.1
1970-02-05,36925,34.0,12.0,0.0
1970-02-06,36926,35.0,33.0,0.02
1970-02-07,36927,43.0,28.0,0.0
1970-02-08,36928,40.0,33.0,0.0
1970-02-09,36929,41.0,35.0,0.0
1970-02-10,36930,48.0,35.0,2.63
1970-02-11,36931,44.0,34.0,0.0
1970-02-12,36932,36.0,27.0,0.0
1970-02-13,36933,32.0,18.0,0.0
1970-02-14,36934,25.0,15.0,0.13
1970-02-15,36935,32.0,23.0,0.38
1970-02-16,36936,35.0,29.0,0.0
1970-02-17,36937,38.0,27.0,0.0
1970-02-18,36938,44.0,32.0,0.0
1970-02-19,36939,46.0,23.0,0.0
1970-02-20,36940,33.0,19.0,0.0
1970-02-21,36941,34.0,20.0,0.0
1970-02-22,36942,57.0,30.0,0.0
1970-02-23,36943,45.0,27.0,0.0
1970-02-24,36944,54.0,27.0,0.0
1970-02-25,36945,54.0,16.0,0.0
1970-02-26,36946,26.0,9.0,0.0
1970-02-27,36947,40.0,23.0,0.0
1970-02-28,36948,40.0,29.0,0.0
1970-03-01,36949,42.0,24.0,0.0
1970-03-02,36950,45.0,34.0,0.0
1970-03-03,36951,44.0,32.0,0.0
1970-03-04,36952,40.0,35.0,0.38
1970-03-05,36953,52.0,36.0,0.01
1970-03-06,36954,40.0,34.0,0.0
1970-03-07,36955,51.0,32.0,0.0
1970-03-08,36956,43.0,24.0,0.0
1970-03-09,36957,39.0,21.0,0.0
1970-03-10,36958,40.0,20.0,0.0
1970-03-11,36959,46.0,27.0,0.0
1970-03-12,36960,42.0,31.0,0.35
1970-03-13,36961,39.0,35.0,0.12
1970-03-14,36962,42.0,31.0,0.0
1970-03-15,36963,39.0,27.0,0.0
1970-03-16,36964,37.0,25.0,0.0
1970-03-17,36965,47.0,27.0,0.0
1970-03-18,36966,41.0,34.0,0.44
1970-03-19,36967,51.0,35.0,0.0
1970-03-20,36968,48.0,37.0,0.48
1970-03-21,36969,50.0,36.0,0.02
1970-03-22,36970,46.0,37.0,0.66
1970-03-23,36971,48.0,37.0,0.07
1970-03-24,36972,52.0,37.0,0.0
1970-03-25,36973,56.0,38.0,0.0
1970-03-26,36974,55.0,44.0,0.39
1970-03-27,36975,54.0,40.0,0.0
1970-03-28,36976,54.0,40.0,0.0
1970-03-29,36977,47.0,27.0,1.07
1970-03-30,36978,37.0,22.0,0.0
1970-03-31,36979,38.0,33.0,0.19
1970-04-01,36980,47.0,34.0,0.03
1970-04-02,36981,56.0,37.0,1.93
1970-04-03,36982,53.0,40.0,0.0
1970-04-04,36983,56.0,40.0,0.0
1970-04-05,36984,50.0,35.0,0.0
1970-04-06,36985,51.0,36.0,0.0
1970-04-07,36986,58.0,37.0,0.0
1970-04-08,36987,69.0,42.0,0.0
1970-04-09,36988,76.0,51.0,0.0
1970-04-10,36989,55.0,36.0,0.0
1970-04-11,36990,50.0,31.0,0.0
1970-04-12,36991,60.0,34.0,0.0
1970-04-13,36992,61.0,42.0,0.0
1970-04-14,36993,49.0,42.0,0.08
1970-04-15,36994,62.0,44.0,0.17
1970-04-16,36995,64.0,47.0,0.0
1970-04-17,36996,61.0,48.0,0.0
1970-04-18,36997,62.0,47.0,0.0
1970-04-19,36998,61.0,41.0,0.0
1970-04-20,36999,50.0,40.0,0.9
1970-04-21,37000,47.0,43.0,0.0
1970-04-22,37001,67.0,46.0,0.0
1970-04-23,37002,55.0,45.0,0.02
1970-04-24,37003,60.0,44.0,0.35
1970-04-25,37004,74.0,48.0,0.0
1970-04-26,37005,82.0,58.0,0.0
1970-04-27,37006,73.0,57.0,0.0
1970-04-28,37007,78.0,56.0,0.0
1970-04-29,37008,79.0,52.0,0.0
1970-04-30,37009,57.0,49.0,0.0
1970-05-01,37010,74.0,50.0,0.0
1970-05-02,37011,80.0,61.0,0.0
1970-05-03,37012,63.0,51.0,0.04
1970-05-04,37013,62.0,51.0,0.0
1970-05-05,37014,77.0,51.0,0.0
1970-05-06,37015,55.0,42.0,0.0
1970-05-07,37016,63.0,38.0,0.0
1970-05-08,37017,72.0,50.0,0.03
1970-05-09,37018,90.0,56.0,0.0
1970-05-10,37019,93.0,70.0,0.0
1970-05-11,37020,88.0,69.0,0.0
1970-05-12,37021,85.0,66.0,0.53
1970-05-13,37022,85.0,61.0,0.36
1970-05-14,37023,73.0,56.0,0.05
1970-05-15,37024,70.0,52.0,0.0
1970-05-16,37025,62.0,52.0,0.02
1970-05-17,37026,64.0,54.0,0.56
1970-05-18,37027,66.0,53.0,0.1
1970-05-19,37028,64.0,52.0,0.11
1970-05-20,37029,84.0,56.0,0.02
1970-05-21,37030,79.0,57.0,0.0
1970-05-22,37031,84.0,57.0,0.39
1970-05-23,37032,78.0,59.0,0.04
1970-05-24,37033,64.0,57.0,0.03
1970-05-25,37034,59.0,54.0,0.13
1970-05-26,37035,76.0,56.0,0.93
1970-05-27,37036,69.0,54.0,0.0
1970-05-28,37037,74.0,50.0,0.0
1970-05-29,37038,74.0,54.0,0.0
1970-05-30,37039,68.0,50.0,0.0
1970-05-31,37040,81.0,55.0,0.0
1970-06-01,37041,87.0,65.0,0.0
1970-06-02,37042,88.0,69.0,0.0
1970-06-03,37043,87.0,66.0,0.1
1970-06-04,37044,66.0,60.0,0.15
1970-06-05,37045,69.0,60.0,0.17
1970-06-06,37046,67.0,61.0,0.28
1970-06-07,37047,72.0,59.0,0.01
1970-06-08,37048,84.0,60.0,0.0
1970-06-09,37049,82.0,66.0,0.0
1970-06-10,37050,83.0,67.0,0.0
1970-06-11,37051,91.0,67.0,0.0
1970-06-12,37052,85.0,70.0,0.06
1970-06-13,37053,79.0,62.0,0.0
1970-06-14,37054,76.0,57.0,0.0
1970-06-15,37055,74.0,60.0,0.01
1970-06-16,37056,68.0,64.0,0.05
1970-06-17,37057,79.0,66.0,0.0
1970-06-18,37058,86.0,67.0,0.65
1970-06-19,37059,85.0,66.0,0.0
1970-06-20,37060,76.0,59.0,0.0
1970-06-21,37061,65.0,58.0,0.45
1970-06-22,37062,72.0,61.0,0.0
1970-06-23,37063,84.0,60.0,0.0
1970-06-24,37064,83.0,65.0,0.0
1970-06-25,37065,83.0,66.0,0.0
1970-06-26,37066,73.0,63.0,0.34
1970-06-27,37067,72.0,60.0,0.0
1970-06-28,37068,80.0,57.0,0.0
1970-06-29,37069,82.0,59.0,0.0
1970-06-30,37070,85.0,68.0,0.0
1970-07-01,37071,87.0,68.0,0.0
1970-07-02,37072,74.0,66.0,0.11
1970-07-03,37073,79.0,67.0,0.0
1970-07-04,37074,85.0,70.0,0.02
1970-07-05,37075,80.0,68.0,0.0
1970-07-06,37076,84.0,65.0,0.0
1970-07-07,37077,86.0,67.0,0.0
1970-07-08,37078,85.0,70.0,0.0
1970-07-09,37079,83.0,69.0,0.0
1970-07-10,37080,82.0,69.0,1.06
1970-07-11,37081,85.0,68.0,0.09
1970-07-12,37082,86.0,68.0,0.0
1970-07-13,37083,83.0,66.0,0.0
1970-07-14,37084,79.0,68.0,0.0
1970-07-15,37085,77.0,70.0,0.0
1970-07-16,37086,89.0,71.0,0.13
1970-07-17,37087,87.0,66.0,0.0
1970-07-18,37088,91.0,71.0,0.0
1970-07-19,37089,85.0,71.0,0.0
1970-07-20,37090,83.0,70.0,0.0
1970-07-21,37091,82.0,67.0,0.0
1970-07-22,37092,83.0,68.0,0.0
1970-07-23,37093,84.0,69.0,0.0
1970-07-24,37094,88.0,72.0,0.0
1970-07-25,37095,89.0,73.0,0.35
1970-07-26,37096,85.0,73.0,0.0
1970-07-27,37097,91.0,74.0,0.0
1970-07-28,37098,94.0,74.0,0.0
1970-07-29,37099,90.0,73.0,0.38
1970-07-30,37100,85.0,72.0,0.0
1970-07-31,37101,84.0,73.0,0.05
1970-08-01,37102,86.0,74.0,0.09
1970-08-02,37103,92.0,73.0,0.0
1970-08-03,37104,88.0,69.0,0.0
1970-08-04,37105,83.0,66.0,0.0
1970-08-05,37106,79.0,67.0,0.01
1970-08-06,37107,85.0,64.0,0.0
1970-08-07,37108,85.0,67.0,0.04
1970-08-08,37109,89.0,69.0,0.0
1970-08-09,37110,87.0,70.0,0.0
1970-08-10,37111,85.0,69.0,0.0
1970-08-11,37112,80.0,70.0,0.01
1970-08-12,37113,90.0,68.0,0.0
1970-08-13,37114,94.0,73.0,0.0
1970-08-14,37115,92.0,73.0,0.0
1970-08-15,37116,94.0,74.0,0.0
1970-08-16,37117,93.0,75.0,0.0
1970-08-17,37118,88.0,74.0,0.06
1970-08-18,37119,88.0,68.0,0.0
1970-08-19,37120,85.0,66.0,0.0
1970-08-20,37121,83.0,70.0,0.19
1970-08-21,37122,85.0,71.0,0.0
1970-08-22,37123,85.0,62.0,0.0
